,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
2512,There,2.5104164586687405e-06,2.8239077437319793e-05,1.7303719346273283e-07,1.911677827592939e-06,1.8942144885940367e-06,1668,781,0.46822541966426856,190,0.11390887290167866,82,0.049160671462829736,38,0.022781774580335732,21,0.012589928057553957,12,0.007194244604316547,6,0.0035971223021582736,6,0.0035971223021582736,6,0.0035971223021582736,5,0.002997601918465228
457,’,1.9730924893844966e-06,0.00018754969642031938,-2.6448441960841285e-12,4.78418140659187e-08,,41865,7809,0.18652812611967037,5384,0.1286038456944942,4020,0.09602293084915801,2984,0.0712767227994745,2202,0.05259763525618058,1662,0.03969903260480115,1266,0.030240057327122895,1014,0.024220709423145827,829,0.019801743699988057,673,0.016075480711811776
84,s,8.500505790151986e-06,0.0005028447485528886,4.384111962352222e-10,5.526409950107336e-06,5.279054301720173e-06,37637,24631,0.65443579456386,18282,0.4857454101017616,12829,0.3408613864016792,8752,0.23253713101469298,6110,0.16234025028562318,4511,0.11985546138108776,3472,0.09224964795281239,2795,0.07426202938597656,2278,0.06052554666950076,1940,0.05154502218561522
2257, lot,3.738393902630438e-06,8.15647654235363e-05,2.6679217057790083e-08,2.1249404653644888e-06,2.013872345205956e-06,2101,1031,0.49071870537839124,567,0.2698714897667777,362,0.17229890528319847,235,0.11185149928605426,165,0.07853403141361257,117,0.055687767729652546,86,0.04093288910042837,59,0.028081865778200855,43,0.020466444550214184,33,0.015706806282722512
309, I,4.902286757139736e-06,0.00029692877433262765,1.629561152682868e-09,3.2111457812789013e-06,3.425376374917306e-06,40404,26588,0.658053658053658,13626,0.3372438372438372,7722,0.19111969111969113,4914,0.12162162162162163,3251,0.08046233046233046,2274,0.05628155628155628,1634,0.04044154044154044,1240,0.03069003069003069,990,0.024502524502524502,794,0.01965151965151965
69,d,1.270424225743046e-05,0.00026976646040566266,8.718799571205693e-10,5.71014970773831e-06,4.4049614976854535e-06,5423,2884,0.5318089618292458,2480,0.45731145122625855,2123,0.39148073022312374,1805,0.3328416005900793,1550,0.2858196570164116,1309,0.2413793103448276,1147,0.21150654619214457,1006,0.18550617739258712,888,0.1637470035035958,781,0.1440162271805274
751, like,5.155433951784935e-06,0.0001209744150401093,2.9000256418498793e-08,3.8790587950643385e-06,3.5575800978862613e-06,8271,5381,0.6505863861685407,3241,0.3918510458227542,1733,0.20952726393422802,949,0.11473824205053802,629,0.07604884536331762,406,0.04908717204691089,312,0.0377221617700399,244,0.029500664974005563,189,0.022850924918389554,150,0.018135654697134566
2312, talk,5.692274986986369e-06,7.240860577439889e-05,3.07210079597553e-08,3.6067619930690853e-06,3.3733668167840993e-06,886,588,0.6636568848758465,372,0.4198645598194131,214,0.24153498871331827,145,0.1636568848758465,105,0.11851015801354402,75,0.08465011286681716,55,0.062076749435665914,40,0.045146726862302484,34,0.03837471783295711,31,0.034988713318284424
670, about,5.9481971752898366e-06,0.0003901108866557479,1.6464587915265838e-08,4.283154339645989e-06,4.368649806650824e-06,12577,8996,0.7152739126977816,5423,0.43118390713206645,2826,0.22469587341973443,1601,0.127295857517691,952,0.07569372664387373,604,0.04802417110598712,434,0.03450743420529538,320,0.025443269460125626,238,0.018923431660968434,187,0.014868410590760913
620,ll,8.546059592565799e-06,0.0005099720438010991,2.0244007359337957e-08,4.3705495045287535e-06,5.006492304604353e-06,1474,1233,0.8364993215739485,730,0.49525101763907736,430,0.29172320217096337,287,0.19470827679782904,212,0.14382632293080055,179,0.12143826322930801,152,0.10312075983717775,125,0.08480325644504749,113,0.07666214382632293,100,0.06784260515603799
564, go,9.242765737605172e-06,0.00010851053957594559,1.089168755186165e-08,6.286641109909397e-06,6.4288982759003894e-06,3266,2772,0.8487446417636252,2112,0.6466625842008573,1548,0.4739742804654011,1114,0.34109001837109615,821,0.25137783221065524,636,0.19473361910593998,501,0.15339865278628292,399,0.12216778934476424,312,0.09552969993876301,265,0.08113900796080833
949, through,5.7007627966260554e-06,7.407816883642226e-05,5.433463901027835e-09,4.58393105873256e-06,4.559420425098814e-06,4657,3424,0.7352372772170925,2180,0.4681125187889199,1093,0.23470045093407774,568,0.12196693150096628,327,0.07021687781833799,207,0.0444492162336268,145,0.03113592441485935,106,0.022761434399828216,79,0.016963710543268198,60,0.012883830792355593
1046, every,9.030661759082841e-06,8.984378655441105e-05,1.3170985369015398e-07,7.3141109169228e-06,7.254418755523233e-06,2857,2253,0.7885894294714736,1968,0.6888344417220861,1497,0.5239761988099405,1022,0.3577178858942947,650,0.22751137556877843,399,0.13965698284914246,263,0.0920546027301365,195,0.06825341267063353,149,0.05215260763038152,109,0.03815190759537977
264,ed,1.1841387487295935e-05,0.00019136897753924131,5.698433724887764e-09,6.252188995858887e-06,6.3667762104575025e-06,6037,4433,0.7343051184363094,3510,0.5814146099055822,2570,0.4257081331787312,1917,0.31754182540997183,1455,0.24101374855060462,1164,0.1928109988404837,927,0.15355308928275632,786,0.13019711777372867,703,0.11644856716912373,613,0.10154050024846778
2403, making,6.888238919858549e-06,6.211150321178138e-05,3.63564822691842e-08,6.002915597491665e-06,5.796176638373776e-06,1837,1471,0.8007621121393577,1176,0.6401741970604246,763,0.41535111594991836,396,0.2155688622754491,223,0.12139357648339684,134,0.07294501905280348,82,0.04463799673380512,59,0.032117583015786606,44,0.023952095808383235,32,0.017419706042460535
752, what,5.924451606478253e-06,0.00010283096344210207,9.199350614608193e-09,4.836308562516933e-06,4.959215933958947e-06,7700,6502,0.8444155844155844,4395,0.5707792207792208,2348,0.30493506493506495,1221,0.15857142857142856,690,0.08961038961038961,420,0.05454545454545454,279,0.036233766233766236,193,0.025064935064935064,131,0.017012987012987014,90,0.011688311688311689
2427, went,6.636613905014396e-06,6.152616697363555e-05,1.5219589144521706e-08,4.089782578375889e-06,4.458611246364572e-06,1290,1003,0.7775193798449612,611,0.47364341085271316,415,0.32170542635658916,282,0.2186046511627907,212,0.16434108527131783,156,0.12093023255813953,116,0.08992248062015504,91,0.07054263565891473,77,0.059689922480620154,64,0.04961240310077519
987, right,8.047485458301069e-06,0.00016349804354831576,4.1319130339445564e-09,6.332349130389048e-06,5.418211385851123e-06,3406,2713,0.7965355255431591,2197,0.6450381679389313,1664,0.48854961832061067,1156,0.33940105695830886,814,0.23899001761597183,564,0.1655901350557839,401,0.1177334116265414,299,0.08778625954198473,226,0.06635349383440986,161,0.04726952436876101
